wavelength,value
3013.00,0.5593
3012.00,0.5605
3011.00,0.5617
3010.00,0.5630
3009.00,0.5642
3008.00,0.5655
3007.00,0.5668
3006.00,0.5684
3005.00,0.5700
3004.00,0.5717
3003.00,0.5734
3002.00,0.5750
3001.00,0.5767
3000.00,0.5785
2999.00,0.5803
2998.00,0.5820
2997.00,0.5837
2996.00,0.5851
2995.00,0.5866
2994.00,0.5880
2993.00,0.5894
2992.00,0.5906
2991.00,0.5917
2990.00,0.5926
2989.00,0.5933
2988.00,0.5940
2987.00,0.5945
2986.00,0.5951
2985.00,0.5956
2984.00,0.5962
2983.00,0.5968
2982.00,0.5974
2981.00,0.5978
2980.00,0.5980
2979.00,0.5980
2978.00,0.5979
2977.00,0.5979
2976.00,0.5978
2975.00,0.5978
2974.00,0.5978
2973.00,0.5977
2972.00,0.5975
2971.00,0.5973
2970.00,0.5972
2969.00,0.5971
2968.00,0.5971
2967.00,0.5971
2966.00,0.5973
2965.00,0.5975
2964.00,0.5978
2963.00,0.5981
2962.00,0.5983
2961.00,0.5985
2960.00,0.5987
2959.00,0.5989
2958.00,0.5993
2957.00,0.5998
2956.00,0.6002
2955.00,0.6008
2954.00,0.6015
2953.00,0.6022
2952.00,0.6028
2951.00,0.6033
2950.00,0.6039
2949.00,0.6045
2948.00,0.6051
2947.00,0.6058
2946.00,0.6064
2945.00,0.6070
2944.00,0.6073
2943.00,0.6076
2942.00,0.6078
2941.00,0.6079
2940.00,0.6079
2939.00,0.6079
2938.00,0.6078
2937.00,0.6077
2936.00,0.6075
2935.00,0.6073
2934.00,0.6071
2933.00,0.6069
2932.00,0.6067
2931.00,0.6066
2930.00,0.6064
2929.00,0.6060
2928.00,0.6055
2927.00,0.6050
2926.00,0.6045
2925.00,0.6040
2924.00,0.6036
2923.00,0.6032
2922.00,0.6028
2921.00,0.6025
2920.00,0.6023
2919.00,0.6021
2918.00,0.6019
2917.00,0.6017
2916.00,0.6012
2915.00,0.6006
2914.00,0.6000
2913.00,0.5994
2912.00,0.5988
2911.00,0.5983
2910.00,0.5977
2909.00,0.5971
2908.00,0.5965
2907.00,0.5959
2906.00,0.5955
2905.00,0.5950
2904.00,0.5944
2903.00,0.5938
2902.00,0.5931
2901.00,0.5925
2900.00,0.5919
2899.00,0.5913
2898.00,0.5907
2897.00,0.5900
2896.00,0.5893
2895.00,0.5884
2894.00,0.5875
2893.00,0.5866
2892.00,0.5856
2891.00,0.5847
2890.00,0.5840
