wavelength,value
3068.00,0.8390
3067.00,0.8374
3066.00,0.8358
3065.00,0.8341
3064.00,0.8323
3063.00,0.8304
3062.00,0.8285
3061.00,0.8266
3060.00,0.8247
3059.00,0.8227
3058.00,0.8206
3057.00,0.8184
3056.00,0.8160
3055.00,0.8135
3054.00,0.8113
3053.00,0.8091
3052.00,0.8071
3051.00,0.8053
3050.00,0.8034
3049.00,0.8014
3048.00,0.7992
3047.00,0.7968
3046.00,0.7944
3045.00,0.7922
3044.00,0.7900
3043.00,0.7882
3042.00,0.7873
3041.00,0.7876
3040.00,0.7896
3039.00,0.7935
3038.00,0.7986
3037.00,0.8042
3036.00,0.8091
3035.00,0.8135
3034.00,0.8182
3033.00,0.8238
3032.00,0.8302
3031.00,0.8355
3030.00,0.8380
3029.00,0.8367
3028.00,0.8318
3027.00,0.8247
3026.00,0.8166
3025.00,0.8083
3024.00,0.8006
3023.00,0.7938
3022.00,0.7879
3021.00,0.7827
3020.00,0.7780
3019.00,0.7738
3018.00,0.7701
3017.00,0.7667
3016.00,0.7636
3015.00,0.7606
3014.00,0.7578
3013.00,0.7552
3012.00,0.7526
3011.00,0.7502
3010.00,0.7479
3009.00,0.7457
3008.00,0.7434
3007.00,0.7413
3006.00,0.7393
3005.00,0.7374
3004.00,0.7356
3003.00,0.7338
3002.00,0.7322
3001.00,0.7308
3000.00,0.7293
2999.00,0.7280
2998.00,0.7268
2997.00,0.7256
2996.00,0.7244
2995.00,0.7233
2994.00,0.7224
2993.00,0.7216
2992.00,0.7206
2991.00,0.7196
2990.00,0.7187
2989.00,0.7177
2988.00,0.7167
2987.00,0.7157
2986.00,0.7147
2985.00,0.7138
2984.00,0.7127
2983.00,0.7117
2982.00,0.7108
2981.00,0.7099
2980.00,0.7090
2979.00,0.7079
2978.00,0.7069
2977.00,0.7059
2976.00,0.7050
2975.00,0.7041
2974.00,0.7032
2973.00,0.7022
2972.00,0.7011
2971.00,0.7000
2970.00,0.6990
2969.00,0.6980
2968.00,0.6969
2967.00,0.6958
2966.00,0.6947
2965.00,0.6936
2964.00,0.6924
2963.00,0.6912
2962.00,0.6900
2961.00,0.6890
2960.00,0.6880
2959.00,0.6871
2958.00,0.6862
2957.00,0.6855
2956.00,0.6846
2955.00,0.6838
2954.00,0.6829
2953.00,0.6820
2952.00,0.6811
2951.00,0.6800
2950.00,0.6790
2949.00,0.6781
2948.00,0.6771
2947.00,0.6761
2946.00,0.6752
2945.00,0.6743
2944.00,0.6733
2943.00,0.6724
2942.00,0.6715
2941.00,0.6707
2940.00,0.6699
2939.00,0.6690
2938.00,0.6681
2937.00,0.6672
2936.00,0.6662
2935.00,0.6652
2934.00,0.6642
2933.00,0.6633
2932.00,0.6624
2931.00,0.6616
2930.00,0.6607
2929.00,0.6599
2928.00,0.6590
2927.00,0.6581
2926.00,0.6573
2925.00,0.6565
2924.00,0.6557
2923.00,0.6549
2922.00,0.6543
2921.00,0.6537
2920.00,0.6531
2919.00,0.6523
2918.00,0.6516
2917.00,0.6509
2916.00,0.6502
2915.00,0.6496
2914.00,0.6489
2913.00,0.6483
2912.00,0.6476
2911.00,0.6469
2910.00,0.6461
2909.00,0.6454
2908.00,0.6444
2907.00,0.6435
2906.00,0.6425
2905.00,0.6415
2904.00,0.6405
2903.00,0.6394
2902.00,0.6382
2901.00,0.6371
2900.00,0.6359
2899.00,0.6347
2898.00,0.6338
2897.00,0.6330
2896.00,0.6323
2895.00,0.6316
2894.00,0.6308
2893.00,0.6301
2892.00,0.6295
2891.00,0.6290
2890.00,0.6285
2889.00,0.6281
2888.00,0.6277
2887.00,0.6273
2886.00,0.6270
2885.00,0.6268
2884.00,0.6266
2883.00,0.6265
2882.00,0.6263
2881.00,0.6261
2880.00,0.6258
2879.00,0.6256
2878.00,0.6254
2877.00,0.6252
2876.00,0.6251
2875.00,0.6251
